candidate,layer,sources,benchmark_results,compute_and_cost,implementation_health,strengths,weaknesses,confidence_status,atlas_applicability,external_evidence_closes_decision,disposition
"Question decomposition / iterative retrieval","query understanding/reasoning","https://aclanthology.org/2025.acl-srw.32/; https://aclanthology.org/2025.findings-emnlp.1022/","Reported multi-hop retrieval and answer gains; error propagation and step cost remain","Multiple generator and retrieval calls per question","Research code exists but no mature component selected; bounded orchestration would reuse Atlas retrieval","Recovers distributed evidence for explicit multi-hop tasks","Planning errors; high latency; broadens product toward agentic search","provisional","Predeclared cross-document multi-hop only","no","defer behind simpler multi-hop controls"
"ColPali/ColQwen visual late interaction","representation/retrieval","https://arxiv.org/abs/2407.01449; https://arxiv.org/abs/2505.17166; https://github.com/illuin-tech/colpali","Strong ViDoRe evidence; v2 adds blind, long and cross-document cases after v1 saturation","Normal quickstart targets CUDA/MPS; multi-vector index/storage and MaxSim cost","colpali-engine v0.3.17; head c23838d; pushed 2026-08-03; 14 open issues","Preserves layout, figures, tables and visual cues without OCR text index","GPU/resource burden; page retrieval is not answer/extraction correctness","established family; provisional Atlas fit","Visual/layout-dependent questions only","yes that family is distinct; no on Atlas routing/cost","controlled visual retrieval comparison"
"Docling structured text representation","parsing","https://github.com/docling-project/docling; docs/parsing-bakeoff.md","Atlas measured full anchors/structure on seven fixtures with slower PDF path","CPU path available; model downloads; measured slower than pypdf","v2.118.0; head 9b454c9; pushed 2026-08-03; issue #3936 affects hyphenated labels","Maintained unified document model; tables/OCR/reading order","Large dependency and active defect surface; not visual retrieval","established","Routed structured/scanned parsing","yes for current fixture route","retain; pin below v2.118 until defect assessed"
"PaddleOCR / PP-Structure / PaddleOCR-VL","parsing/OCR","https://arxiv.org/abs/2507.05595; https://github.com/PaddlePaddle/PaddleOCR","Competitive multilingual OCR/parsing evidence; current claims span separate OCR, structure and VLM products","CPU and multiple accelerator paths; VLM profiles are heavier","v3.7.0; head 2661c7c; pushed 2026-07-22; current ROCm/Torch/ONNX issues","Broad language, layout, table and deployment choices in one maintained project","Paddle runtime and model matrix; no Atlas integration proof; self-reported current benchmark claims","provisional","Shared Atlas/Ledger parser challenger","no","Ledger-led parser benchmark; Atlas consumes winning adapter"
"RAPTOR","hierarchical retrieval","https://arxiv.org/abs/2401.18059; https://aclanthology.org/2025.emnlp-main.1656/; https://github.com/parthsarthi03/raptor","Original complex-QA gains; later DOS RAG comparison removes universal-win claim","Embedding, clustering and repeated LLM summaries at index time","head 7da1d48; last push 2024-09-03; no release; open incremental-add and recursion issues","Multi-level abstraction for global/long questions","Stale reference implementation; expensive rebuilds; generated-summary errors","contested","Long/global or multi-hop only","no","compare only with DOS and flat hybrid"
"Microsoft GraphRAG","graph/global retrieval","https://arxiv.org/abs/2404.16130; https://github.com/microsoft/graphrag; https://aclanthology.org/2026.findings-acl.679/","Strong global-sensemaking evidence; later work shows workload-specific gains and detail regressions","LLM entity extraction and community summaries create high indexing token cost","v3.1.1; head 14a00ad; pushed 2026-08-04; 61 open issues","Maintained global/local/DRIFT implementation and clear query classes","Large integration/data model; author-owned early evaluation; not for fact lookup","established niche","Corpus-global/entity/community questions","yes for niche; no for Atlas corpus economics","experimental adapter only after matched workload"
"LightRAG","graph/vector retrieval","https://arxiv.org/abs/2410.05779; https://github.com/HKUDS/LightRAG","Reported graph/vector quality and efficiency; independent Atlas-fit result absent","LLM graph extraction plus selectable storage/providers","v1.5.5; head 9106867; pushed 2026-08-04; active server and storage surface","Incremental updates and operational graph/vector profiles","Would duplicate Atlas API/storage/orchestration; broad config and issue surface","provisional","Implementation reference, not foundation replacement","no","inspect component seams; reject whole-framework adoption"
"Table-specific structured retrieval","representation/retrieval","https://aclanthology.org/2026.findings-acl.1902/; https://aclanthology.org/2026.eacl-long.8/","Recent benchmarks show table structure and hybrid retrieval matter for numerical/cross-table questions","Parser plus table index; generator cost depends on representation","Research implementations exist; no Atlas-compatible component selected","Distinct operating region where flattened text loses row/column relationships","Narrow tasks and young implementations; parser quality confound","provisional","Table-heavy analytical corpora","no","defer until visual/text benchmark exposes table failures"
"Cross-encoder reranking","reranking","docs/reranker-bakeoff.md; https://aclanthology.org/2026.eacl-srw.17/","BGE added only 0.0068 held-out nDCG at roughly 60x p95 locally; other domains report gains","Model-dependent CPU/GPU latency","Implemented through FastEmbed and regression tested","Can improve top-order precision after broad recall","Does not recover missing sources; tail latency can dominate","established","Offline/high-quality or client-specific route","yes for current corpus only","retain selectable; mandatory control in new domains"
"Answerability-conditioned refusal","verification","https://aclanthology.org/2025.acl-long.415/; https://aclanthology.org/2025.findings-acl.875/; docs/semantic-evaluation.md","No single retrieval profile solves unanswerability; Atlas local no-answer gate fails","Classifier/judge dependent; deterministic controls are cheap","No Atlas answerability classifier yet; evaluation seam exists","Addresses a known user-visible correctness failure","Threshold and evaluator transfer; may suppress valid answers","established need; unknown implementation winner","All profiles","no","highest-priority bounded experiment"
"Automated grounding judges","verification/evaluation","https://aclanthology.org/2025.coling-main.304/; docs/semantic-evaluation.md","GroUSE finds evaluator failure modes; Atlas HHEM controls pass but abstention does not","Local HHEM model already measured; larger judges add cost","Implemented pinned local model plus deterministic citation checks","Scalable claim-support signal when paired with controls","Judge correlation does not equal failure discrimination; cannot be sole truth","contested","Regression signal only","yes that judge-only evidence is insufficient","retain with deterministic and human calibration"
"Leakage and ACL invariant suite","security/evaluation","https://aclanthology.org/2026.findings-acl.287/; docs/architecture.md","External benchmark shows RAG leakage risk; Atlas already has tenant/ACL adversarial tests","Test-only cost","Implemented authorization-before-retrieval and canary tests","Prevents quality experiments from weakening access boundaries","Does not establish production threat coverage","established","Mandatory for every candidate","yes","retain invariant gate"
